Job Title	Company Name	Company Ratings	Location	Salary	Job Type
Backend Engineer - Python (Remote)	Paramount	3.9	"Remote in New York, NY 10036"	Estimated $105K - $133K a year	Full-time
Software Quality Engineer ***W2/Benefits Provided***	Braintrust	4.5	"Remote in San Francisco, CA 94133"	$80 - $87 an hour	"Full-time
+1"
PYTHON DEVELOPER	Snap IT Solutions		"Houston, TX 77099, (Alief area)"	Estimated $88.4K - $112K a year	
Remote Python Developer	Nikola Motor Company	3.4	"Remote in Phoenix, AZ"	Estimated $100K - $127K a year	
Python Developer	Goodyear	3.7	"Akron, OH"		
"Staff Full Stack Engineer, Autopilot AI (ReactJS, Python)"	Tesla	3.4	"Palo Alto, CA"		Full-time
Python Developer	Doran Jones	4.4	"Jersey City, NJ"	Estimated $90.9K - $115K a year	Full-time
Back-end Engineer (Python)	CartPilot.		"Chicago, IL"	Estimated $87.1K - $110K a year	Full-time
Entry Level - Associate Developer (Commercial): Back End	IBM	3.9	"New York, NY 10001, (Chelsea area)"	Estimated $97.3K - $123K a year	Full-time
PYTHON DEVELOPER	Nextshift		"Raritan, NJ"	Estimated $105K - $133K a year	
Investment Systems Python Developer	Arrowstreet Capital	4	"Boston, MA"	Estimated $100K - $127K a year	Full-time
Jr Python Developer	Veracity Software		"Iselin, NJ 08830"	Estimated $69.5K - $88.1K a year	
Equities Software Developer II	Bank of America	3.8	"New York, NY"	Estimated $127K - $161K a year	Full-time
Software Engineer - Apprentice	wepay	4	"Remote in Palo Alto, CA"		Apprenticeship
IT Developer	Medtronic	3.9	"Mounds View, MN"		Apprenticeship
Python Developer	Alertus		"Remote in Fort Lauderdale, FL 33315"	Estimated $85.1K - $108K a year	Full-time
Python/Automation	Tek Ninjas		"Remote in Southlake, TX 76092"	Estimated $97.3K - $123K a year	Contract
Software Engineer (Python)	EAB	3.7	Remote	Estimated $91.2K - $115K a year	Full-time
Software Engineer- Work from home- Express Scripts	Cigna	3.7	"Remote in Hartford, CT 06152"	"$93,800 - $156,300 a year"	Full-time
DevOps Engineer	Proofpoint	3.6	"Remote in Boston, MA"	Estimated $109K - $138K a year	Full-time
Rust or C++ Developer/Software Engineer – Tesla Bot Simulati...	Tesla	3.4	"Palo Alto, CA"		Full-time
Django/Python Developer	KMM Technologies	2.8	"Bethesda, MD"	Estimated $112K - $142K a year	Contract
Software Engineer - Recent/Upcoming Graduates	Performance		"Cedar Rapids, IA 52404"	Estimated $77.4K - $98K a year	Full-time
Front-end Engineer	"Amazon Dev Center U.S., Inc."	3.5	Remote	"$143,700 - $194,400 a year"	Full-time
Senior Python Developer	Softvision - North America		"Remote in Minneapolis, MN 55111"	"$120,000 - $150,000 a year"	Full-time
Software Engineer	WellPower - Administrative		"Remote in Denver, CO"	"$82,450 - $97,000 a year"	"Weekend availability
+1"
Software Engineering Development Program (Start Date: Januar...	Paramount+	3.9	"Los Angeles, CA 90069"	Estimated $83.3K - $105K a year	Full-time
Entry/Jr. Software Developer	Maxar Technologies	3.5	Remote		Full-time
Python Developer	Promantis Inc		"Remote in Columbus, OH 43222"	Estimated $94.7K - $120K a year	Full-time
"Software Engineer (E4), Developer Productivity for TVUI"	Netflix	3.9	"Los Gatos, CA"	Estimated $105K - $132K a year	
Python Engineer	Iron Systems	3.3	"Fremont, CA 94539, (East Industrial area)"	Estimated $78K - $98.8K a year	
Python Developer	Mojo Solutions		"Santa Ana, CA 92701, (Saddleback View area)"	Estimated $79.1K - $100K a year	Full-time
Software Engineer	Microsoft	4.2	"Redmond, WA 98052, (Overlake area)"		Full-time
Senior Python Engineer - Remote	Xplor	4.3	"Remote in Durham, NC"	"$100,000 - $145,000 a year"	Full-time
Python Developer	Applied Information Sciences	4	"Remote in Reston, VA 20191"	Estimated $108K - $137K a year	
Python Developer - Remote: 22-04250	Akraya Inc.	3.6	"Remote in Santa Clara, CA 95054"	Estimated $122K - $155K a year	
Part-Time Student-Software Engineering-Cybersecurity-Remote	John Deere	4	"Remote in Urbandale, IA 50322"	"Full-time
+1"	Year round work
Pyspark/Python Developer	Tra’Bian Enterprises		"Temporarily Remote in Dallas, TX"	Estimated $94.5K - $120K a year	Contract
Python Developer	Digiprima		"New York, NY"	Estimated $98.8K - $125K a year	
SQL Server Developer - Fully Remote	Magellan Health	3.5	"Remote in Harrisburg, PA 17112"	Estimated $87.8K - $111K a year	Full-time
MUSA - 4810 - Python Developer with Azure	MomentoUSA		Remote	Estimated $108K - $137K a year	Contract
Entry-Level Software Engineer	Openpath Security Inc.		"Schaumburg, IL"	Estimated $57.4K - $72.6K a year	Full-time
Python Developer – Brussel	Juvo bvba		"German, VA"	Estimated $99.4K - $126K a year	
Python Developer Jr.	Brown Brothers Harriman	3.6	"New York, NY"	"$60,000 - $75,000 a year"	Full-time
Full Stack Developer	Colgate-Palmolive	4.3	"Piscataway, NJ 08854"		Full-time
Audio Triage Automation Engineer	Apple	4.1	"Cupertino, CA"		Full-time
M365 Developer (Remote)	Parsons	3.9	Remote	"$110,600 - $199,100 a year"	Full-time
Python Web Developer	NovaGigs		"McLean, VA"	Estimated $88.1K - $112K a year	
Gaming Software Engineer - Entry Level	Light & Wonder	5	"Chicago, IL"	Estimated $55.9K - $70.7K a year	Full-time
Quantitative Developer (Python)	Engineers Gate		"New York, NY"	Estimated $104K - $132K a year	
Senior JavaScript / Python Developer	Blue People		Remote	Estimated $115K - $145K a year	
Research Software Engineer	Princeton University	4.4	"Princeton, NJ 08542"		Full-time
Python-Developers	Celandyne Software Solutions		"Santa Clara, CA 95050"	Estimated $96.3K - $122K a year	
Python Engineer with AWS	Saleor Commerce		Remote	Estimated $79.3K - $100K a year	Full-time
PYTHON DEVELOPER	FI Consulting	4	"Arlington, VA 22209, (Radnor-Ft Myer Heights area)"	Estimated $94K - $119K a year	
Python Developer	Right Talents		"New York, NY"	Estimated $127K - $161K a year	
Software Development Engineer	Capital Group	3.9	"Hybrid remote in Los Angeles, CA 90025"	Estimated $97.1K - $123K a year	
Python Developer	Photon	3.7	"Dallas, TX 75234"	Estimated $100K - $127K a year	
